INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37428', '', 'hole', '1', 'PADOOR102', '-100.518', '212.947', '-271.806', '0', '7', '0', '0', '0', '0', '0', '2', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37439', '11', 'hole', '1', 'PADOOR101', '-111.637', '260.903', '-307.873', '256', '2', '0', '0', '0', '0', '0', '11', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37440', '12', 'hole', '1', 'PADOOR102', '-74.9165', '364.591', '-306.873', '384', '7', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37441', '13', 'hole', '1', 'PADOOR101', '-128.804', '403.787', '-342.842', '0', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37442', '14', 'hole', '1', 'PADOOR102', '-95.543', '473.802', '-349.81', '256', '7', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37443', '15', 'hole', '1', 'PADOOR101', '-28.0398', '377.398', '-348.844', '384', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37444', '16', 'hole', '1', 'PADOOR101', '107.054', '475.186', '-349.815', '128', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37445', '17', 'hole', '1', 'PADOOR102', '116.865', '435.334', '-349.81', '128', '7', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37446', '18', 'hole', '1', 'PADOOR102', '14.3765', '393.869', '-361.842', '0', '7', '0', '0', '0', '0', '0', '20', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37447', '19', 'hole', '1', 'PADOOR101', '14.3733', '403.819', '-361.842', '0', '2', '0', '0', '0', '0', '0', '19', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37448', '20', 'hole', '1', 'PADOOR102', '28.5307', '341.875', '-385.842', '0', '7', '0', '0', '0', '0', '0', '22', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37449', '21', 'hole', '1', 'PADOOR101', '28.5307', '351.775', '-385.842', '0', '2', '0', '0', '0', '0', '0', '21', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37450', '22', 'hole', '1', 'PADOOR101', '100.337', '365.923', '-335.86', '256', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37451', '23', 'hole', '1', 'PADOOR102', '70.5348', '375.793', '-335.817', '256', '7', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37452', '24', 'hole', '1', 'PADOOR101', '125.517', '393.892', '-335.82', '256', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37453', '25', 'hole', '1', 'PADOOR102', '126.402', '330.91', '-349.831', '0', '7', '0', '0', '0', '0', '0', '27', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37454', '26', 'hole', '1', 'PADOOR101', '126.402', '340.811', '-349.831', '0', '2', '0', '0', '0', '0', '0', '26', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37455', '27', 'hole', '1', 'HHCELL', '491.839', '-177.903', '-204.904', '256', '16', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37456', '28', 'hole', '1', 'PADOOR102', '547.335', '-180.017', '-233.904', '256', '7', '0', '0', '0', '0', '0', '30', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37457', '29', 'hole', '1', 'PADOOR101', '547.335', '-189.867', '-233.904', '256', '2', '0', '0', '0', '0', '0', '29', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37458', '30', 'hole', '1', 'PADOOR102', '562.169', '-227.834', '-233.904', '0', '7', '0', '0', '0', '0', '0', '32', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37459', '31', 'hole', '1', 'PADOOR101', '562.169', '-217.984', '-233.904', '0', '2', '0', '0', '0', '0', '0', '31', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37460', '32', 'hole', '1', 'PADOOR102', '509.323', '-217.955', '-221.904', '256', '7', '0', '0', '0', '0', '0', '34', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37461', '33', 'hole', '1', 'PADOOR101', '509.323', '-227.905', '-221.904', '256', '2', '0', '0', '0', '0', '0', '33', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37462', '34', 'hole', '1', 'PADOOR102', '336.363', '-319.83', '-195.904', '0', '7', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37463', '35', 'hole', '1', 'HOLESHIELD401', '714.748', '338.967', '-909.604', '395', '55', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37464', '36', 'hole', '1', 'HOLESHIELD401', '631.892', '229.279', '-909.618', '113', '55', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37465', '37', 'hole', '1', 'PADOOR102', '455.782', '-243.256', '-195.904', '128', '7', '0', '0', '0', '0', '0', '39', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37466', '38', 'hole', '1', 'PADOOR101', '445.832', '-243.256', '-195.904', '128', '2', '0', '0', '0', '0', '0', '38', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37467', '39', 'hole', '1', 'PADOOR102', '510.166', '-217.889', '-195.904', '0', '7', '0', '0', '0', '0', '0', '41', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37468', '40', 'hole', '1', 'PADOOR101', '510.166', '-207.939', '-195.904', '0', '2', '0', '0', '0', '0', '0', '40', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37469', '41', 'hole', '1', 'PADOOR101', '497.883', '-193.364', '-195.904', '128', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37470', '42', 'hole', '1', 'PADOOR101', '433.153', '-334.94', '-147.935', '0', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37471', '43', 'hole', '1', 'PADOOR102', '470.446', '-286.965', '-147.935', '256', '7', '0', '0', '0', '0', '0', '45', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37472', '44', 'hole', '1', 'PADOOR101', '470.446', '-296.815', '-147.935', '256', '2', '0', '0', '0', '0', '0', '44', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37473', '45', 'hole', '1', 'PADOOR102', '418.547', '-272.967', '-147.935', '256', '7', '0', '0', '0', '0', '0', '47', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37474', '46', 'hole', '1', 'PADOOR101', '418.547', '-282.817', '-147.935', '256', '2', '0', '0', '0', '0', '0', '46', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37475', '47', 'hole', '1', 'PADOOR102', '485.191', '-238.973', '-105.93', '256', '7', '0', '0', '0', '0', '0', '49', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37476', '48', 'hole', '1', 'PADOOR101', '485.191', '-248.873', '-105.93', '256', '2', '0', '0', '0', '0', '0', '48', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
INSERT INTO `doors` (id, doorid, zone, version, name, pos_y, pos_x, pos_z, heading, opentype, guild, lockpick, keyitem, nokeyring, altkeyitem, triggerdoor, triggertype, doorisopen, door_param, dest_zone, dest_instance, dest_x, dest_y, dest_z, dest_heading, is_ldon_door, invert_state, incline, size, client_version_mask) VALUES ('37477', '49', 'hole', '1', 'PADOOR102', '397.743', '-274.452', '-93.9167', '128', '7', '0', '0', '0', '0', '0', '51', '0', '0', '0', 'NONE', '0', '0', '0', '0', '0', '0', '0', '0', '100', '4294967295');
